command,mean,stddev,median,user,system,min,max,parameter_size
./Heap 1000,0.00334537557697121,0.0005811863774654348,0.003276914,0.0015478485794743436,0.00010250828535669589,0.0026388139999999997,0.010577814000000001,1000
./Heap 11000,0.02449673676422763,0.005677336638788763,0.023135314,0.01928922849593496,0.0008573799999999999,0.022288214,0.052666514000000005,11000
./Heap 21000,0.06951544971428572,0.0033818286125690852,0.069043464,0.06228553976190477,0.002689417142857143,0.067430214,0.090615714,21000
./Heap 31000,0.15077410400000005,0.00299071715689169,0.149776764,0.13552268500000003,0.010887025999999998,0.14857471400000002,0.160446414,31000
./Heap 41000,0.26530134127272725,0.002476830417324087,0.264586714,0.23979436227272724,0.020865914545454542,0.262165514,0.270056914,41000
./Heap 51000,0.418024974,0.010514287152061241,0.41286416400000003,0.360084335,0.053419060000000004,0.410363814,0.440234614,51000
./Heap 61000,0.6021382340000001,0.005185668052709186,0.6004810140000001,0.521728835,0.07605876,0.5963354140000001,0.6133539140000001,61000
./Heap 71000,0.9140156840000001,0.05827334389392899,0.8965885640000002,0.813005935,0.09595215999999998,0.8587523140000001,1.0443572140000001,71000
./Heap 81000,1.179735744,0.045025363336359904,1.159695164,1.0229210350000002,0.15216066,1.139923814,1.258763214,81000
./Heap 91000,1.4978661340000001,0.015689150486654393,1.496704814,1.296491235,0.19647076,1.4745034140000002,1.5233837140000002,91000
