command,mean,stddev,median,user,system,min,max,parameter_size
./Table 1000,0.010706811040752348,0.002282930324289426,0.010142938,0.00667231250783699,0.0004308805642633228,0.007272737999999999,0.026089038000000002,1000
./Table 2000,0.02593350411570248,0.0043243400586015,0.024518838,0.02134007070247934,0.0007571504132231405,0.022734138,0.05378243800000001,2000
./Table 3000,0.04671638175,0.0036914000251066187,0.046181638000000004,0.04191304875,0.0009519375,0.04399263800000001,0.073691638,3000
./Table 4000,0.08280756431578946,0.0096959005896107,0.07950818800000001,0.07788519184210528,0.001217542105263158,0.07657213800000001,0.125878138,4000
./Table 5000,0.120794548,0.00959042934744403,0.11760678800000002,0.116373705,0.00007651,0.11574223800000001,0.152285838,5000
./Table 6000,0.1675528262352941,0.008267574861536054,0.165731538,0.1630205432352941,0.0005647117647058824,0.163182938,0.199176838,6000
./Table 7000,0.22674345466666668,0.011390052244020461,0.22293713799999998,0.22277695499999997,0,0.220568338,0.26076683800000006,7000
./Table 8000,0.329597578,0.03141692041751458,0.31971168800000005,0.324531155,0.00098421,0.30273973800000004,0.38612413800000006,8000
./Table 9000,0.3871712180000001,0.0070646856051459015,0.38462508800000006,0.382043555,0.00098351,0.38203843800000004,0.40561013800000006,9000
./Table 10000,0.48279952800000003,0.015655472539335514,0.481364138,0.4781835549999999,0.00007531000000000001,0.466830638,0.518448838,10000
./Table 11000,0.5763836179999999,0.00998868857266948,0.572533288,0.5721480549999999,0,0.564639538,0.593900638,11000
./Table 12000,0.804722058,0.15568801667726964,0.744843938,0.7992547549999999,0.0011015200000000001,0.669158438,1.1489176380000001,12000
./Table 13000,0.9391518280000002,0.12514296146472245,0.8711276880000001,0.9342698549999999,0,0.818194238,1.1694634380000002,13000
./Table 14000,0.9502512280000002,0.02000964465265299,0.9449950380000001,0.9458837549999999,0,0.9278836380000001,0.985660938,14000
./Table 15000,1.103320368,0.078453608139631,1.0660797880000001,1.0981999550000001,0.00099621,1.0520339380000001,1.258337638,15000
./Table 16000,1.3139038280000002,0.14406771004026356,1.252509838,1.3065919550000002,0.00299233,1.1864940380000002,1.6039932380000002,16000
./Table 17000,1.5009390180000002,0.11567919706051828,1.503334438,1.4956334549999997,0.00099081,1.3523203380000002,1.692712738,17000
./Table 18000,1.616910548,0.12176300982913445,1.549785038,1.6117845549999998,0.00099511,1.5203846380000001,1.854992938,18000
./Table 19000,1.800750128,0.14627650875344458,1.7596283380000002,1.792334155,0.00398694,1.693296138,2.175706838,19000
./Table 20000,1.9540603580000002,0.10048362120688344,1.930384288,1.9394711550000001,0.00996595,1.8958826380000002,2.232344238,20000
./Table 21000,2.1393990580000004,0.08169820572225014,2.112284538,2.121404055,0.01399118,2.052070038,2.316168638,21000
./Table 22000,2.3160262279999997,0.021002752432820168,2.3169993380000005,2.2949477550000004,0.017057689999999997,2.287722138,2.3504696380000003,22000
./Table 23000,2.530349988,0.011378800004223281,2.532025138,2.5040113550000003,0.02196239,2.517600038,2.5513104380000002,23000
./Table 24000,2.875795568,0.279166224586902,2.761046788,2.8563023549999995,0.015063089999999998,2.727738338,3.628702538,24000
./Table 25000,3.0065613979999997,0.07879982312942925,2.979807838,2.971112455,0.031055500000000003,2.955940338,3.225629838,25000
./Table 26000,3.284212498,0.13181606366414278,3.248427788,3.2560348550000002,0.023990380000000002,3.052641238,3.518016138,26000
./Table 27000,3.492910408,0.0173133865300203,3.4901231380000004,3.4497816550000002,0.03897949,3.463802238,3.516256238,27000
./Table 28000,3.7599186480000006,0.024568604457651997,3.765138288,3.699586055,0.055945199999999994,3.722522638,3.8018229380000004,28000
./Table 29000,4.051472427999999,0.022788942389308398,4.060877787999999,3.985146255,0.06197409999999999,4.007731238,4.077140038,29000
./Table 30000,4.318642468,0.02496529800685783,4.317272788,4.263192654999999,0.051083,4.281199438,4.357926237999999,30000
